EqName,ProcessDateTime,Recipe,Step,Interval,Pressure,GasFlow,ElectricalPower,Temperature
ET101,4/2/2019 11:00,Etching101,1,1,0,0,0,60.1
ET101,4/2/2019 11:00,Etching101,1,2,5.2,13,0,60
ET101,4/2/2019 11:00,Etching101,1,3,7,17.5,0,60.1
ET101,4/2/2019 11:00,Etching101,1,4,12,30,0,60.2
ET101,4/2/2019 11:00,Etching101,1,5,18,45,0,60.1
ET101,4/2/2019 11:00,Etching101,1,6,25,62.5,0,60
ET101,4/2/2019 11:00,Etching101,1,7,23,57.5,0,60
ET101,4/2/2019 11:00,Etching101,1,8,19,47.5,0,60.1
ET101,4/2/2019 11:00,Etching101,1,9,20,50,0,60
ET101,4/2/2019 11:00,Etching101,2,10,21,50,52,60
ET101,4/2/2019 11:00,Etching101,2,11,19,50,102,60.1
ET101,4/2/2019 11:00,Etching101,2,12,23,52,104,60.2
ET101,4/2/2019 11:00,Etching101,2,13,20,49,103,60.3
ET101,4/2/2019 11:00,Etching101,2,14,20,49,103,60.4
ET101,4/2/2019 11:00,Etching101,2,15,21,50,107,60.5
ET101,4/2/2019 11:00,Etching101,2,16,22,50,108,60.6
ET101,4/2/2019 11:00,Etching101,2,17,21,49,107,60.7
ET101,4/2/2019 11:00,Etching101,2,18,23,49,99,60.8
ET101,4/2/2019 11:00,Etching101,2,19,22,50,106,60.9
ET101,4/2/2019 11:00,Etching101,2,20,19,50,101,61
ET101,4/2/2019 11:00,Etching101,2,21,21,50,103,61.1
ET101,4/2/2019 11:00,Etching101,2,22,23,52,103,61.2
ET101,4/2/2019 11:00,Etching101,2,23,20,53,102,61.3
ET101,4/2/2019 11:00,Etching101,2,24,23,52,102,61.4
ET101,4/2/2019 11:00,Etching101,2,25,23,51,104,61.5
ET101,4/2/2019 11:00,Etching101,2,26,22,52,105,61.6
ET101,4/2/2019 11:00,Etching101,2,27,21,53,107,61.7
ET101,4/2/2019 11:00,Etching101,2,28,23,51,100,61.8
ET101,4/2/2019 11:00,Etching101,2,29,20,52,100,61.9
ET101,4/2/2019 11:00,Etching101,2,30,22,53,107,62
ET101,4/2/2019 11:00,Etching101,2,31,23,51,99,62.1
ET101,4/2/2019 11:00,Etching101,2,32,23,53,106,62.2
ET101,4/2/2019 11:00,Etching101,2,33,21,51,107,62.3
ET101,4/2/2019 11:00,Etching101,2,34,19,51,108,62.4
ET101,4/2/2019 11:00,Etching101,2,35,22,53,109,62.5
ET101,4/2/2019 11:00,Etching101,2,36,23,49,104,62.6
ET101,4/2/2019 11:00,Etching101,2,37,22,50,99,62.7
ET101,4/2/2019 11:00,Etching101,2,38,20,50,99,62.8
ET101,4/2/2019 11:00,Etching101,2,39,22,49,100,62.9
ET101,4/2/2019 11:00,Etching101,2,40,19,51,107,63
ET101,4/2/2019 11:00,Etching101,2,41,22,51,101,63.1
ET101,4/2/2019 11:00,Etching101,2,42,22,52,101,63.2
ET101,4/2/2019 11:00,Etching101,2,43,20,49,100,63.3
ET101,4/2/2019 11:00,Etching101,2,44,21,51,105,63.4
ET101,4/2/2019 11:00,Etching101,2,45,22,50,105,63.5
ET101,4/2/2019 11:00,Etching101,2,46,19,51,101,63.6
ET101,4/2/2019 11:00,Etching101,2,47,20,53,100,63.7
ET101,4/2/2019 11:00,Etching101,2,48,15,50,99,63.8
ET101,4/2/2019 11:00,Etching101,2,49,14,53,103,63.9
ET101,4/2/2019 11:00,Etching101,2,50,12,52,103,64
ET101,4/2/2019 11:00,Etching101,3,51,7,29,33,64.1
ET101,4/2/2019 11:00,Etching101,3,52,3,5,0,64
ET101,4/2/2019 11:00,Etching101,3,53,1,3,0,63.9
ET101,4/2/2019 11:00,Etching101,3,54,0,0,0,63.8
ET101,4/2/2019 11:00,Etching101,3,55,0,0,0,63.7
ET101,4/2/2019 11:00,Etching101,3,56,0,0,0,63.6
ET101,4/2/2019 11:00,Etching101,3,57,0,0,0,63.5
ET101,4/2/2019 11:00,Etching101,3,58,0,0,0,63.4
ET101,4/2/2019 11:00,Etching101,3,59,0,0,0,63.3
ET101,4/2/2019 11:00,Etching101,3,60,0,0,0,63.2
